"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","CCN_4","CCA_4","TYPE_4","ENGTYPE_4"
171,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",45,"Koumbal",171,"Latmingue","",612020,"6120201","Commune","Commune"
172,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",45,"Koumbal",172,"Thiare","",612020,"6120202","Commune","Commune"
173,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",46,"Ndiedieng",173,"Keur Soce","",612010,"6120101","Commune","Commune"
174,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",46,"Ndiedieng",174,"Ndiaffate","",612010,"6120102","Commune","Commune"
175,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",46,"Ndiedieng",175,"Ndiedieng","",612010,"6120103","Commune","Commune"
176,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",47,"Ngothie",176,"Dya","",612030,"6120301","Commune","Commune"
177,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",47,"Ngothie",177,"Ndiebel","",612030,"6120302","Commune","Commune"
178,201,"SEN","Senegal",6,"Kaolack",19,"Kaolack",47,"Ngothie",178,"Thiomby","",612030,"6120303","Commune","Commune"
179,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",48,"Medina Sabakh",179,"Kayemor","",622010,"6220101","Commune","Commune"
180,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",48,"Medina Sabakh",180,"Medina Sabakh","",622010,"6220102","Commune","Commune"
181,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",48,"Medina Sabakh",181,"Ngayene","",622010,"6220103","Commune","Commune"
182,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",49,"Paos Koto",182,"Dabaly","",622020,"6220205","Commune","Commune"
183,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",49,"Paos Koto",183,"Darou Salam","",622020,"6220206","Commune","Commune"
184,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",49,"Paos Koto",184,"Gainthe Kaye","",622020,"6220201","Commune","Commune"
185,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",49,"Paos Koto",185,"Paos Koto","",622020,"6220202","Commune","Commune"
186,201,"SEN","Senegal",6,"Kaolack",20,"Nioro du Rip",49,"Paos Koto",186,"Prokhane","",622020,"6220203","Commune","Commune"
